date,sleep_hours,energy_level,mood_score,exercise_minutes,interruptions,habits_planned,habits_completed,planned_task_hours,completed_task_hours,planned_study_hours,study_hours,planned_deep_work_hours,deep_work_hours,productivity_score
2023-06-19,8.8,5,5,15,2,5,4,5.75,4.5,1,1,2.25,1.75,54.2
2023-06-20,6.7,4,6,55,5,5,1,7,5.5,3,2.5,0.5,0.25,54.7
2023-06-21,6.7,5,7,0,4,5,3,6.25,4.25,3.5,1.75,1,0.5,54.3
2023-06-22,5.9,3,6,40,2,5,2,5.75,2.5,4,2,0.75,0.25,42.8
2023-06-23,5.3,2,7,0,2,5,3,5,2.25,3,1.25,1.75,0.5,36.4
2023-06-24,7.4,5,9,0,3,3,3,3.5,3,1.5,1,0.25,0.25,61.2
2023-06-25,6.4,3,5,75,2,4,4,2.25,1,1.25,0.5,0.5,0.25,35.3
2023-06-26,6.5,4,4,0,2,5,2,6,4,0.5,0.25,3,2.25,39.6
2023-06-27,5.2,2,2,0,9,6,2,10.25,2,1.75,0.25,0.75,0,13.3
2023-06-28,6.3,5,3,0,7,6,4,8.25,5.5,1,0.5,3,1.5,50
2023-06-29,7.2,6,8,30,,5,4,8.75,4,3,1.5,4,1.5,65.3
2023-06-30,7.3,6,5,0,4,5,4,8,6.25,3.25,1.75,2,1.75,65.6
2023-07-01,8,6,7,15,1,4,3,0.5,0.25,0,0,0.25,0.25,45.6
2023-07-02,6.7,8,9,90,3,4,4,3.25,3,1.5,1.5,0.75,0.75,67
2023-07-03,8,7,5,0,1,5,5,3.75,3.5,1,1,1,1,60.8
2023-07-04,6.4,3,4,15,4,6,3,6.5,3.75,2,1.25,0.25,0.25,52.7
2023-07-05,7.9,6,9,80,6,6,4,7.75,4.25,3,2.5,2.75,1.25,56.6
2023-07-06,7.3,5,6,0,7,5,5,7.25,6,2.25,1.5,2.5,1.5,64.6
2023-07-07,6.3,6,7,60,3,5,5,7.25,6,2.25,2.25,4,3.25,79.3
2023-07-08,7.8,7,6,35,1,4,4,6,5.25,0.5,0.5,4,4,83.9
2023-07-09,8.1,6,7,90,2,3,2,1.5,1.5,0.25,0.25,0.25,0.25,43.7
2023-07-10,7.4,8,8,0,3,6,4,8,7,0.75,0.5,4.25,3,66.3
2023-07-11,7.1,7,7,30,4,5,2,5.75,5,1,1,1.75,1.5,
2023-07-12,8.8,8,8,80,4,6,6,5.5,5.25,2.75,2.75,0.75,0.5,67.9
2023-07-13,,6,8,0,4,5,4,9,8.5,1.75,1.5,3,2.5,73.8
2023-07-14,7,5,8,0,,5,2,7.25,5,1.75,1,2.25,1.75,63.9
2023-07-15,8.7,7,8,35,0,3,3,3.25,3.25,1.25,1.25,0.5,0.5,70.3
2023-07-16,9.5,6,10,60,2,3,2,2.25,1.75,0.75,0.5,0.75,0.5,47.7
2023-07-17,8.7,4,5,30,7,6,2,6.25,5,1.5,1.25,2.25,1.5,49.8
2023-07-18,6,4,7,25,1,5,4,6,3.25,2.5,1.5,2.5,1.5,57.1
2023-07-19,6.2,4,5,20,2,6,5,5.25,3.75,2,1.75,1.25,1,58
2023-07-20,8.3,,7,40,8,6,6,5,3.25,2.5,1,0.5,0.25,59.6
2023-07-21,6,3,5,20,4,5,2,6.75,4.25,1.5,0.75,2.75,1.25,43.9
2023-07-22,6.4,4,7,60,1,4,1,5,3.5,1.25,0.5,1.75,1.5,57
2023-07-23,7.4,6,10,30,2,4,4,4,3.5,1.25,1,0.75,0.5,59.7
2023-07-24,7.6,7,8,45,4,6,5,7.5,5.25,1.5,1,2.5,1.25,70.7
2023-07-25,7.2,7,7,0,5,5,4,7.25,7,0.25,0.25,1.25,1.25,72.3
2023-07-26,6.3,5,5,80,1,6,5,6,4,2.5,1.75,1.25,1,64.4
2023-07-27,6.3,4,,0,6,6,2,6.75,1.25,4,1,0.75,0.25,28.8
2023-07-28,6.1,3,4,5,3,6,2,7.5,3.25,2.25,1,1.75,1,38.3
2023-07-29,6.4,4,6,0,3,3,2,2,1.25,0.5,0.25,0.75,0.5,36.5
2023-07-30,9.2,5,6,60,2,4,1,2.75,1.25,0.5,0.25,1.75,1,36.9
2023-07-31,6.8,3,4,15,3,5,1,8.5,1.75,4.75,1.5,0.5,0,30.8
2023-08-01,7.6,6,7,0,5,5,3,7,3.75,0.5,0.5,5.5,3,60.5
2023-08-02,6.2,4,7,0,2,5,3,8,5.25,4.25,2.25,1.5,1.25,49.8
2023-08-03,6.5,5,5,25,7,6,4,6.25,2.25,3.5,1.75,0.5,0.25,41.7
2023-08-04,6,5,6,15,2,6,4,4.75,3.5,1.5,1.25,2.25,1.5,43.3
2023-08-05,4.9,1,3,0,2,3,1,1.75,0.75,0.25,0,1,0.25,15.7
2023-08-06,6.3,4,6,50,1,4,2,3.75,2.25,1.75,1,1.5,1,49.6
2023-08-07,5.4,3,3,0,11,5,3,7.75,1,3.5,0.5,3.25,0.25,31
2023-08-08,5.2,3,5,50,5,5,4,7.5,4,2.75,1.75,0.5,0.25,51.7
2023-08-09,6.1,4,5,0,10,6,3,6.5,3.25,0.5,0.25,2.75,1.25,42.2
2023-08-10,8.2,5,,0,5,6,3,6,4,3.75,3.25,1,0.5,51.7
2023-08-11,6.9,5,7,30,3,6,5,7.75,5.5,2,1.5,3.75,3,64.9
2023-08-12,8.8,5,7,0,3,4,3,3.75,3,1.5,1.25,0.75,0.5,49.7
2023-08-13,8,6,6,25,4,3,2,4,3.25,0.25,0.25,1.75,1.25,54.3
2023-08-14,7.6,5,,0,7,6,3,8.5,4,0.75,0.25,1.75,0.25,30.7
2023-08-15,6.1,3,4,0,7,5,1,5.75,3,0.5,0.25,3.5,1.25,34.7
2023-08-16,7.4,6,4,0,5,6,3,6.25,5.5,2.75,2.25,0,0,53.7
2023-08-17,8.1,7,7,55,2,5,5,9.25,7.5,5.25,3.25,1.25,1,88.7
2023-08-18,7.2,8,9,0,3,5,4,8.25,7.75,0.5,0.5,1.5,1.25,76.6
2023-08-19,8.5,10,5,0,2,3,3,3.75,3.75,1.25,1.25,1,1,63.4
2023-08-20,8.4,7,6,40,3,4,3,3.75,3,2.25,1.75,0.25,0.25,57.8
2023-08-21,6.4,5,6,0,12,5,3,7.25,4,0.25,0.25,1,0.25,39.4
2023-08-22,5.8,2,4,0,3,6,2,3.5,2,2,1.25,0.25,0,30.3
2023-08-23,5.9,2,4,0,4,6,5,5.75,1.25,1.25,0.25,2.25,0.5,29.4
2023-08-24,7.2,8,9,0,1,5,5,7,6.5,4.5,4.25,1.25,1.25,79.9
2023-08-25,7.3,5,6,20,6,6,5,6.5,3.75,1.5,1,2,0.75,50.5
2023-08-26,6.8,4,,0,1,3,0,2.75,1.75,1,0.75,0.5,0.25,34.7
2023-08-27,7.1,4,,40,4,3,1,5,2,1.5,0.5,2.5,0.75,39.3
2023-08-28,7.1,4,5,0,4,6,3,6.5,3.75,1.25,0.75,1.75,1,40.8
2023-08-29,7,3,5,0,7,5,0,5.75,1.75,1,0.25,3,0.25,23.2
2023-08-30,,4,7,0,5,5,3,7.5,3.5,2,1,1.5,0.5,47.2
2023-08-31,7.6,6,3,15,6,5,3,6.5,2.75,2.5,0.75,2,0.75,40.6
2023-09-01,5.6,1,4,0,4,6,3,6.75,1.25,3.75,0.75,0.75,0.25,32.7
2023-09-02,8.4,3,4,0,3,3,0,4,1,1,0,2,0.25,20.6
2023-09-03,6.3,3,3,25,5,3,3,7.25,1.25,4.25,1,1.5,0,22
2023-09-04,7.7,6,7,60,2,6,4,4,2.75,2.5,2,1,0.75,52.9
2023-09-05,6.6,,5,10,4,5,4,6.5,3.25,2.5,1,0.75,0.25,38.9
2023-09-06,6.1,1,6,0,3,6,1,7,2.5,2.25,0.75,1.25,0.5,27.5
2023-09-07,5.3,2,6,0,4,5,1,6,2.5,2.5,1.25,0.75,0.25,33
2023-09-08,7.3,7,8,0,5,6,4,8.25,7.5,1,0.75,0.75,0.5,62.3
2023-09-09,6.3,6,5,20,1,4,3,2,1.5,0.25,0.25,0.25,0.25,44.5
2023-09-10,8.5,5,5,0,4,3,2,2.25,1.5,0.5,0.5,0.75,0.5,45.2
2023-09-11,8.5,6,6,45,3,5,4,6.75,5,1.75,1.5,1.5,1,60
2023-09-12,6.7,7,9,60,2,6,4,6.75,6,2.75,2.5,1.5,1.5,80.3
2023-09-13,7.4,3,5,45,3,6,3,6.75,4.5,1.75,1,1.25,0.75,48.7
2023-09-14,6.4,6,,50,,5,5,7,6,4.75,4.25,0.5,0.25,65.3
2023-09-15,6.6,4,4,0,2,6,2,6.75,5,0.75,0.75,2.75,2.5,
2023-09-16,8.5,7,10,15,2,3,3,2.5,2.5,1,0.75,0.25,0.25,60.6
2023-09-17,7.7,6,6,0,1,4,4,0.5,0.5,0.25,0.25,0,0,39.2
2023-09-18,8.6,7,7,0,6,6,6,5.5,4.25,3,2,0.25,0.25,65.5
2023-09-19,6.4,5,4,0,3,6,5,5.75,4.25,4,2.75,0.5,0.25,45.6
2023-09-20,7.7,3,6,0,3,6,3,4.75,2.5,0.75,0.25,2,0.5,47.3
2023-09-21,6.9,4,3,0,,5,2,8.25,3.25,0.5,0.25,5.5,1.25,44.5
2023-09-22,7.6,6,5,60,4,6,6,7.25,6,1.75,1.5,3,2.25,68.8
2023-09-23,7,5,4,5,6,4,3,2.75,1.25,1,0.5,1,0.25,36.3
2023-09-24,7.5,6,6,0,4,4,2,4.25,3,0.75,0.5,0.25,0.25,52.9
2023-09-25,7,7,6,0,1,6,4,9.25,7.75,2.25,2,2,1.75,80.3
2023-09-26,6.4,6,8,0,4,6,4,6.25,4.5,1.5,1,0.75,0.5,56.6
2023-09-27,7.8,6,8,90,4,6,4,7.25,4,4,2.25,1,0.5,65.4
2023-09-28,7.7,4,5,0,5,6,5,8,5,1,0.5,0.25,0.25,51.5
2023-09-29,7.6,6,7,10,7,6,3,5.75,4.5,1,0.75,1,0.5,48
2023-09-30,,6,6,50,5,3,3,0.25,0.25,0,0,0,0,39.4
2023-10-01,8.9,5,5,0,1,3,3,2.25,1.25,0.75,0.5,0.75,0.5,44.7
2023-10-02,6.7,6,7,0,4,5,4,10.75,8.75,5.75,4,2.5,1.75,64.3
2023-10-03,7.7,8,5,50,3,5,5,7.5,7,2.25,2,1,0.75,78.3
2023-10-04,7,7,8,10,4,5,5,9,7.75,2,1.5,4.75,3.5,82.9
2023-10-05,7.6,4,6,30,1,5,3,8.5,8.25,1,1,5.5,4.5,75
2023-10-06,6.8,5,6,35,1,5,4,7.5,6.25,2.5,1.75,4,4,71.2
2023-10-07,9.1,8,9,40,1,4,4,4.5,4.25,1,0.75,2.5,2.5,70.8
2023-10-08,8.2,6,6,,1,3,2,3.75,3,0.75,0.5,1,0.5,60.7
2023-10-09,7,4,6,0,7,6,3,5,3.5,1,0.75,1.25,0.75,48.6
2023-10-10,8.4,8,8,85,4,5,3,9,8.75,1.5,1.5,1,1,79.2
2023-10-11,5,2,5,0,5,5,1,7.25,1.25,1.25,0.25,3.5,0.5,17.8
2023-10-12,5.3,4,5,0,4,6,2,3.5,2.25,0.75,0.5,1,0.75,34.9
2023-10-13,7.9,7,6,25,1,6,5,6.5,5.5,1.5,1.25,4,4,76
2023-10-14,7.6,6,9,90,2,4,3,3.75,2.75,0.75,0.75,0.75,0.5,52.3
2023-10-15,7.7,6,7,70,4,4,3,4.75,3.5,2.25,1.75,1,0.75,58.1
2023-10-16,5.7,4,4,20,8,6,4,8,5.5,2.5,1.75,1.75,1.25,48.2
2023-10-17,6.9,8,5,0,3,6,6,6,5,0.75,0.75,2,1.5,64.8
2023-10-18,8.7,7,,15,3,5,3,5.25,3.75,0.75,0.5,3.5,2.5,58.7
2023-10-19,7.7,4,6,0,3,6,2,7,5.25,1.25,0.75,1,0.5,50.9
